FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,5314,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,1433,1912,1556,2021,0,0,221
1/1/2022 0:00,AA,5408,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,640,629,814,742,0,0,221
1/1/2022 0:00,AA,5651,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,1102,,1224,,1,0,221
1/1/2022 0:00,AA,6065,HTS,"Ashland, WV",WV,39,CLT,"Charlotte, NC",NC,36,743,937,915,1043,0,0,235
1/1/2022 0:00,DL,4684,CRW,"Charleston/Dunbar, WV",WV,39,ATL,"Atlanta, GA",GA,34,700,658,839,822,0,0,363
1/1/2022 0:00,DL,5371,CRW,"Charleston/Dunbar, WV",WV,39,ATL,"Atlanta, GA",GA,34,1300,,1432,,1,0,363
1/1/2022 0:00,G4,2451,HTS,"Ashland, WV",WV,39,SFB,"Sanford, FL",FL,33,2018,2053,2204,2235,0,0,665
1/1/2022 0:00,UA,3760,CRW,"Charleston/Dunbar, WV",WV,39,ORD,"Chicago, IL",IL,41,1714,,1819,,1,0,416
1/1/2022 0:00,UA,3919,CRW,"Charleston/Dunbar, WV",WV,39,ORD,"Chicago, IL",IL,41,700,,805,,1,0,416
1/1/2022 0:00,UA,5021,CKB,"Clarksburg/Fairmont, WV",WV,39,ORD,"Chicago, IL",IL,41,1350,,1450,,1,0,444
1/1/2022 0:00,UA,5023,LWB,"Lewisburg, WV",WV,39,ORD,"Chicago, IL",IL,41,1921,,2030,,1,0,489
1/1/2022 0:00,UA,5150,CKB,"Clarksburg/Fairmont, WV",WV,39,IAD,"Washington, DC",VA,38,800,754,910,846,0,0,151
1/2/2022 0:00,AA,5153,CRW,"Charleston/Dunbar, WV",WV,39,DCA,"Washington, DC",VA,38,856,849,1015,949,0,0,249
1/2/2022 0:00,AA,5314,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,1433,1443,1556,1604,0,0,221
1/2/2022 0:00,AA,5408,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,640,637,814,743,0,0,221
1/2/2022 0:00,AA,5457,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,2011,2105,2138,2242,0,0,221
1/2/2022 0:00,AA,5651,CRW,"Charleston/Dunbar, WV",WV,39,CLT,"Charlotte, NC",NC,36,1102,1116,1224,1223,0,0,221
1/2/2022 0:00,AA,6065,HTS,"Ashland, WV",WV,39,CLT,"Charlotte, NC",NC,36,635,634,806,748,0,0,235
1/2/2022 0:00,AA,6153,HTS,"Ashland, WV",WV,39,CLT,"Charlotte, NC",NC,36,1242,1345,1404,1456,0,0,235
1/2/2022 0:00,DL,4684,CRW,"Charleston/Dunbar, WV",WV,39,ATL,"Atlanta, GA",GA,34,700,901,840,1027,0,0,363
1/2/2022 0:00,DL,5371,CRW,"Charleston/Dunbar, WV",WV,39,ATL,"Atlanta, GA",GA,34,1209,1320,1340,1449,0,0,363
1/2/2022 0:00,DL,5495,CRW,"Charleston/Dunbar, WV",WV,39,ATL,"Atlanta, GA",GA,34,1800,1825,1933,1953,0,0,363
1/2/2022 0:00,G4,1644,HTS,"Ashland, WV",WV,39,PGD,"Punta Gorda, FL",FL,33,1521,,1722,,1,0,790
