FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,1576,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1835,1843,2215,2211,0,0,1089
1/1/2022 0:00,AA,1639,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1102,1100,1314,1303,0,0,736
1/1/2022 0:00,AA,2777,ORD,"Chicago, IL",IL,41,EYW,"Key West, FL",FL,33,825,816,1236,1238,0,0,1251
1/1/2022 0:00,AA,3565,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,2259,2255,2354,2341,0,0,126
1/1/2022 0:00,AA,4044,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1000,1210,1054,1304,0,0,126
1/1/2022 0:00,AA,4051,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1235,1405,1334,1540,0,0,126
1/1/2022 0:00,AA,4064,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1803,1802,1857,1849,0,0,126
1/1/2022 0:00,AA,4538,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1900,1846,2115,2050,0,0,736
1/1/2022 0:00,AA,4609,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,950,941,1322,1255,0,0,1121
1/1/2022 0:00,AA,4610,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1256,1256,1510,1554,0,0,736
1/1/2022 0:00,AA,4653,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,906,925,1122,1133,0,0,736
1/1/2022 0:00,AA,4799,LGA,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,830,832,1205,1159,0,0,1207
1/1/2022 0:00,AA,4921,DCA,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,935,957,1238,1458,0,0,1023
1/1/2022 0:00,AA,5011,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,1228,1217,1545,1638,0,0,1121
1/1/2022 0:00,AA,766,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1430,1522,1809,1916,0,0,1089
1/1/2022 0:00,B6,2063,BOS,"Boston, MA",MA,13,EYW,"Key West, FL",FL,33,855,852,1255,1220,0,0,1373
1/1/2022 0:00,B6,2155,JFK,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,740,,1117,,1,0,1201
1/1/2022 0:00,DL,1491,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1134,1255,1326,1459,0,0,646
1/1/2022 0:00,DL,1539,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,810,,1003,,1,0,646
1/1/2022 0:00,DL,2089,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1002,,1154,,1,0,646
1/1/2022 0:00,DL,2188,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1417,1419,1600,1638,0,0,646
1/1/2022 0:00,DL,4717,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1740,1737,1931,1952,0,0,646
1/1/2022 0:00,DL,5833,LGA,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,1114,1103,1454,1441,0,0,1207
1/1/2022 0:00,G4,1922,PIE,"St. Petersburg, FL",FL,33,EYW,"Key West, FL",FL,33,925,,1040,,1,0,238
1/1/2022 0:00,G4,3721,SFB,"Sanford, FL",FL,33,EYW,"Key West, FL",FL,33,800,,910,,1,0,292
1/1/2022 0:00,G4,3723,IND,"Indianapolis, IN",IN,42,EYW,"Key West, FL",FL,33,1325,,1605,,1,0,1078
1/1/2022 0:00,UA,3403,IAD,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1030,1026,1338,1340,0,0,1023
1/1/2022 0:00,UA,3455,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,1230,1229,1605,1620,0,0,1196
1/1/2022 0:00,UA,3623,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,1440,1631,1815,1943,0,0,1196
1/1/2022 0:00,UA,3632,ORD,"Chicago, IL",IL,41,EYW,"Key West, FL",FL,33,1050,,1509,,1,0,1251
1/1/2022 0:00,UA,3650,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,900,859,1246,1224,0,0,1196
1/1/2022 0:00,UA,6104,IAH,"Houston, TX",TX,74,EYW,"Key West, FL",FL,33,1045,1042,1424,1510,0,0,915
1/1/2022 0:00,UA,6227,IAD,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1710,1738,2015,2043,0,0,1023
1/2/2022 0:00,AA,1576,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1835,1830,2215,2152,0,0,1089
1/2/2022 0:00,AA,1639,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1102,1104,1314,1310,0,0,736
1/2/2022 0:00,AA,2777,ORD,"Chicago, IL",IL,41,EYW,"Key West, FL",FL,33,825,841,1236,1242,0,0,1251
1/2/2022 0:00,AA,3565,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,2259,,2354,,1,0,126
1/2/2022 0:00,AA,4044,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1034,1031,1137,1121,0,0,126
1/2/2022 0:00,AA,4051,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1235,1243,1334,1418,0,0,126
1/2/2022 0:00,AA,4064,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1803,1757,1857,1940,0,0,126
1/2/2022 0:00,AA,4538,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1900,1845,2115,2114,0,0,736
1/2/2022 0:00,AA,4609,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,945,938,1317,1319,0,0,1121
1/2/2022 0:00,AA,4610,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1256,1250,1510,1518,0,0,736
1/2/2022 0:00,AA,4653,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,906,856,1122,1119,0,0,736
1/2/2022 0:00,AA,4921,DCA,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1228,1227,1531,1621,0,0,1023
1/2/2022 0:00,AA,632,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,1200,1153,1511,1511,0,0,1121
1/2/2022 0:00,AA,680,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1625,1631,1836,1842,0,0,736
1/2/2022 0:00,AA,766,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1230,2110,1611,45,0,0,1089
1/2/2022 0:00,B6,2063,BOS,"Boston, MA",MA,13,EYW,"Key West, FL",FL,33,855,,1255,,1,0,1373
1/2/2022 0:00,B6,2155,JFK,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,740,857,1117,1216,0,0,1201
1/2/2022 0:00,DL,1491,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1127,1129,1320,1331,0,0,646
1/2/2022 0:00,DL,1539,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,810,,1004,,1,0,646
1/2/2022 0:00,DL,2089,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1002,1017,1155,1209,0,0,646
1/2/2022 0:00,DL,2188,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1416,1413,1600,1601,0,0,646
1/2/2022 0:00,DL,4717,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1740,1740,1932,1933,0,0,646
1/2/2022 0:00,DL,5833,LGA,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,1114,,1455,,1,0,1207
1/2/2022 0:00,G4,2301,SFB,"Sanford, FL",FL,33,EYW,"Key West, FL",FL,33,1353,1417,1500,1528,0,0,292
1/2/2022 0:00,G4,433,AVL,"Asheville, NC",NC,36,EYW,"Key West, FL",FL,33,630,,830,,1,0,751
1/2/2022 0:00,UA,3403,IAD,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1030,1029,1338,1449,0,0,1023
1/2/2022 0:00,UA,3455,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,1230,1230,1605,1651,0,0,1196
1/2/2022 0:00,UA,3623,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,1440,1438,1815,1830,0,0,1196
1/2/2022 0:00,UA,3632,ORD,"Chicago, IL",IL,41,EYW,"Key West, FL",FL,33,1050,,1509,,1,0,1251
1/2/2022 0:00,UA,3650,EWR,"Newark, NJ",NJ,21,EYW,"Key West, FL",FL,33,900,858,1246,1349,0,0,1196
1/2/2022 0:00,UA,6104,IAH,"Houston, TX",TX,74,EYW,"Key West, FL",FL,33,1045,1045,1424,1543,0,0,915
1/2/2022 0:00,UA,6227,IAD,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1710,1708,2015,2000,0,0,1023
1/3/2022 0:00,AA,1576,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1835,1837,2215,2205,0,0,1089
1/3/2022 0:00,AA,1639,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1102,1056,1314,1307,0,0,736
1/3/2022 0:00,AA,2777,ORD,"Chicago, IL",IL,41,EYW,"Key West, FL",FL,33,825,822,1236,1234,0,0,1251
1/3/2022 0:00,AA,3565,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,2259,239,2354,333,0,0,126
1/3/2022 0:00,AA,4044,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1034,1033,1137,1135,0,0,126
1/3/2022 0:00,AA,4051,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1235,1233,1334,1335,0,0,126
1/3/2022 0:00,AA,4064,MIA,"Miami, FL",FL,33,EYW,"Key West, FL",FL,33,1803,1759,1857,1846,0,0,126
1/3/2022 0:00,AA,4538,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1900,1925,2115,2139,0,0,736
1/3/2022 0:00,AA,4609,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,945,,1317,,1,0,1121
1/3/2022 0:00,AA,4610,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1256,1253,1510,1514,0,0,736
1/3/2022 0:00,AA,4653,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,906,930,1122,1153,0,0,736
1/3/2022 0:00,AA,4921,DCA,"Washington, DC",VA,38,EYW,"Key West, FL",FL,33,1228,,1531,,1,0,1023
1/3/2022 0:00,AA,632,PHL,"Philadelphia, PA",PA,23,EYW,"Key West, FL",FL,33,1200,1154,1511,1528,0,0,1121
1/3/2022 0:00,AA,680,CLT,"Charlotte, NC",NC,36,EYW,"Key West, FL",FL,33,1625,2018,1836,2226,0,0,736
1/3/2022 0:00,AA,766,DFW,"Dallas/Fort Worth, TX",TX,74,EYW,"Key West, FL",FL,33,1230,1227,1611,1718,0,0,1089
1/3/2022 0:00,B6,2063,BOS,"Boston, MA",MA,13,EYW,"Key West, FL",FL,33,855,1159,1255,1639,0,0,1373
1/3/2022 0:00,B6,2155,JFK,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,740,829,1117,1154,0,0,1201
1/3/2022 0:00,DL,1491,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1127,1211,1320,1352,0,0,646
1/3/2022 0:00,DL,1539,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,810,810,1004,1001,0,0,646
1/3/2022 0:00,DL,2089,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1002,1004,1155,1156,0,0,646
1/3/2022 0:00,DL,2188,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1416,,1600,,1,0,646
1/3/2022 0:00,DL,4717,ATL,"Atlanta, GA",GA,34,EYW,"Key West, FL",FL,33,1740,,1932,,1,0,646
1/3/2022 0:00,DL,5833,LGA,"New York, NY",NY,22,EYW,"Key West, FL",FL,33,1114,1107,1455,1509,0,0,1207
1/3/2022 0:00,G4,571,BNA,"Nashville, TN",TN,54,EYW,"Key West, FL",FL,33,600,555,911,1002,0,0,849
