FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,AA,2414,DFW,"Dallas/Fort Worth, TX",TX,74,IAD,"Washington, DC",VA,38,1115,1227,1457,1613,0,0,1172
1/1/2022 0:00,AA,2741,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,1804,1904,1923,2025,0,0,322
1/1/2022 0:00,AA,413,DFW,"Dallas/Fort Worth, TX",TX,74,IAD,"Washington, DC",VA,38,2015,2015,2356,2356,0,0,1172
1/1/2022 0:00,AA,5336,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,1620,1615,1741,1738,0,0,322
1/1/2022 0:00,AA,5589,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,1321,1319,1451,1437,0,0,322
1/1/2022 0:00,AA,5706,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,855,851,1017,1003,0,0,322
1/1/2022 0:00,AS,1078,SEA,"Seattle, WA",WA,93,IAD,"Washington, DC",VA,38,1005,1021,1758,1802,0,0,2306
1/1/2022 0:00,DL,2120,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,1012,1011,1156,1151,0,0,534
1/1/2022 0:00,DL,2221,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,1433,1457,1609,1641,0,0,534
1/1/2022 0:00,DL,2547,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,810,807,953,951,0,0,534
1/1/2022 0:00,DL,2573,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,2130,2130,2308,2257,0,0,534
1/1/2022 0:00,DL,3602,MSP,"Minneapolis, MN",MN,63,IAD,"Washington, DC",VA,38,1957,2005,2330,2316,0,0,908
1/1/2022 0:00,DL,3767,MSP,"Minneapolis, MN",MN,63,IAD,"Washington, DC",VA,38,1020,1223,1345,1533,0,0,908
1/1/2022 0:00,DL,3855,DTW,"Detroit, MI",MI,43,IAD,"Washington, DC",VA,38,850,846,1024,1002,0,0,383
1/1/2022 0:00,DL,3858,DTW,"Detroit, MI",MI,43,IAD,"Washington, DC",VA,38,2110,,2237,,1,0,383
1/1/2022 0:00,DL,823,SEA,"Seattle, WA",WA,93,IAD,"Washington, DC",VA,38,959,,1753,,1,0,2306
1/1/2022 0:00,DL,844,SLC,"Salt Lake City, UT",UT,87,IAD,"Washington, DC",VA,38,1740,1810,2331,16,0,0,1828
1/1/2022 0:00,G4,2572,SRQ,"Sarasota/Bradenton, FL",FL,33,IAD,"Washington, DC",VA,38,1833,,2047,,1,0,849
1/1/2022 0:00,UA,1107,MCO,"Orlando, FL",FL,33,IAD,"Washington, DC",VA,38,1912,1922,2119,2113,0,0,758
1/1/2022 0:00,UA,1157,BOS,"Boston, MA",MA,13,IAD,"Washington, DC",VA,38,745,742,932,922,0,0,413
1/1/2022 0:00,UA,1164,LAX,"Los Angeles, CA",CA,91,IAD,"Washington, DC",VA,38,2343,2344,735,725,0,0,2288
1/1/2022 0:00,UA,1195,IAH,"Houston, TX",TX,74,IAD,"Washington, DC",VA,38,1645,1713,2040,2052,0,0,1190
1/1/2022 0:00,UA,1246,PDX,"Portland, OR",OR,92,IAD,"Washington, DC",VA,38,2250,2244,634,611,0,0,2327
1/1/2022 0:00,UA,1284,LAX,"Los Angeles, CA",CA,91,IAD,"Washington, DC",VA,38,1300,1300,2046,2029,0,0,2288
1/1/2022 0:00,UA,1406,PHX,"Phoenix, AZ",AZ,81,IAD,"Washington, DC",VA,38,1500,1548,2108,2136,0,0,1956
1/1/2022 0:00,UA,1445,STT,"Charlotte Amalie, VI",VI,4,IAD,"Washington, DC",VA,38,1750,1921,2101,2215,0,0,1606
1/1/2022 0:00,UA,1470,BOS,"Boston, MA",MA,13,IAD,"Washington, DC",VA,38,1436,2143,1620,2318,0,0,413
1/1/2022 0:00,UA,1550,DFW,"Dallas/Fort Worth, TX",TX,74,IAD,"Washington, DC",VA,38,1715,1856,2057,2243,0,0,1172
1/1/2022 0:00,UA,1579,SRQ,"Sarasota/Bradenton, FL",FL,33,IAD,"Washington, DC",VA,38,1355,1422,1612,1638,0,0,849
1/1/2022 0:00,UA,1620,ORD,"Chicago, IL",IL,41,IAD,"Washington, DC",VA,38,2105,2221,2356,57,0,0,588
1/1/2022 0:00,UA,1625,TPA,"Tampa, FL",FL,33,IAD,"Washington, DC",VA,38,735,732,948,938,0,0,811
1/1/2022 0:00,UA,1686,IAH,"Houston, TX",TX,74,IAD,"Washington, DC",VA,38,1950,2108,2340,43,0,0,1190
1/1/2022 0:00,UA,1690,LAX,"Los Angeles, CA",CA,91,IAD,"Washington, DC",VA,38,1600,1559,2349,2323,0,0,2288
1/1/2022 0:00,UA,1750,FLL,"Fort Lauderdale, FL",FL,33,IAD,"Washington, DC",VA,38,700,,932,,1,0,901
1/1/2022 0:00,UA,1754,MIA,"Miami, FL",FL,33,IAD,"Washington, DC",VA,38,710,712,945,941,0,0,921
1/1/2022 0:00,UA,1840,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,730,813,1245,1338,0,0,1452
1/1/2022 0:00,UA,1844,IAH,"Houston, TX",TX,74,IAD,"Washington, DC",VA,38,730,726,1124,1111,0,0,1190
1/1/2022 0:00,UA,1852,SFO,"San Francisco, CA",CA,91,IAD,"Washington, DC",VA,38,2355,7,800,755,0,0,2419
1/1/2022 0:00,UA,1943,RSW,"Fort Myers, FL",FL,33,IAD,"Washington, DC",VA,38,1855,2010,2120,2221,0,0,891
1/1/2022 0:00,UA,1961,LAS,"Las Vegas, NV",NV,85,IAD,"Washington, DC",VA,38,1346,1425,2112,2121,0,0,2065
1/1/2022 0:00,UA,1986,SFO,"San Francisco, CA",CA,91,IAD,"Washington, DC",VA,38,825,851,1615,1639,0,0,2419
1/1/2022 0:00,UA,1992,EWR,"Newark, NJ",NJ,21,IAD,"Washington, DC",VA,38,1500,1622,1621,1732,0,0,212
1/1/2022 0:00,UA,2002,SFO,"San Francisco, CA",CA,91,IAD,"Washington, DC",VA,38,1325,1331,2118,2114,0,0,2419
1/1/2022 0:00,UA,2022,SJU,"San Juan, PR",PR,3,IAD,"Washington, DC",VA,38,630,643,927,1006,0,0,1571
1/1/2022 0:00,UA,2024,SJU,"San Juan, PR",PR,3,IAD,"Washington, DC",VA,38,1755,1801,2048,2049,0,0,1571
1/1/2022 0:00,UA,2044,RSW,"Fort Myers, FL",FL,33,IAD,"Washington, DC",VA,38,1345,1419,1608,1643,0,0,891
1/1/2022 0:00,UA,2065,MCO,"Orlando, FL",FL,33,IAD,"Washington, DC",VA,38,1609,1607,1817,1808,0,0,758
1/1/2022 0:00,UA,2087,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,945,1012,1502,1546,0,0,1452
1/1/2022 0:00,UA,210,BDL,"Hartford, CT",CT,11,IAD,"Washington, DC",VA,38,800,817,926,939,0,0,326
1/1/2022 0:00,UA,2116,MIA,"Miami, FL",FL,33,IAD,"Washington, DC",VA,38,1350,1358,1622,1737,0,0,921
1/1/2022 0:00,UA,2170,ORD,"Chicago, IL",IL,41,IAD,"Washington, DC",VA,38,1802,2001,2058,2238,0,0,588
1/1/2022 0:00,UA,2207,SYR,"Syracuse, NY",NY,22,IAD,"Washington, DC",VA,38,800,754,936,906,0,0,296
1/1/2022 0:00,UA,2214,SMF,"Sacramento, CA",CA,91,IAD,"Washington, DC",VA,38,2315,2314,704,651,0,0,2358
1/1/2022 0:00,UA,2247,SFO,"San Francisco, CA",CA,91,IAD,"Washington, DC",VA,38,2245,2240,650,630,0,0,2419
1/1/2022 0:00,UA,2264,MCO,"Orlando, FL",FL,33,IAD,"Washington, DC",VA,38,1355,1345,1609,1555,0,0,758
1/1/2022 0:00,UA,2344,LAS,"Las Vegas, NV",NV,85,IAD,"Washington, DC",VA,38,2340,2340,703,653,0,0,2065
1/1/2022 0:00,UA,237,DFW,"Dallas/Fort Worth, TX",TX,74,IAD,"Washington, DC",VA,38,610,606,949,951,0,0,1172
1/1/2022 0:00,UA,2398,TPA,"Tampa, FL",FL,33,IAD,"Washington, DC",VA,38,1409,1445,1624,1654,0,0,811
1/1/2022 0:00,UA,2492,SEA,"Seattle, WA",WA,93,IAD,"Washington, DC",VA,38,2305,142,657,900,0,0,2306
1/1/2022 0:00,UA,255,AUS,"Austin, TX",TX,74,IAD,"Washington, DC",VA,38,1204,1209,1600,1549,0,0,1297
1/1/2022 0:00,UA,2603,TPA,"Tampa, FL",FL,33,IAD,"Washington, DC",VA,38,1900,1854,2115,2059,0,0,811
1/1/2022 0:00,UA,2610,IAH,"Houston, TX",TX,74,IAD,"Washington, DC",VA,38,1200,1212,1559,1558,0,0,1190
1/1/2022 0:00,UA,2639,ORD,"Chicago, IL",IL,41,IAD,"Washington, DC",VA,38,635,,923,,1,0,588
1/1/2022 0:00,UA,2677,ORD,"Chicago, IL",IL,41,IAD,"Washington, DC",VA,38,1300,1438,1553,1738,0,0,588
1/1/2022 0:00,UA,281,BTV,"Burlington, VT",VT,16,IAD,"Washington, DC",VA,38,745,801,932,931,0,0,441
1/1/2022 0:00,UA,3415,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,1933,1937,2120,2114,0,0,534
1/1/2022 0:00,UA,344,HNL,"Honolulu, HI",HI,2,IAD,"Washington, DC",VA,38,1855,1914,908,927,0,0,4817
1/1/2022 0:00,UA,3445,ORF,"Norfolk, VA",VA,38,IAD,"Washington, DC",VA,38,1448,1452,1558,1606,0,0,157
1/1/2022 0:00,UA,3466,IND,"Indianapolis, IN",IN,42,IAD,"Washington, DC",VA,38,1441,1441,1617,1611,0,0,476
1/1/2022 0:00,UA,3482,PIT,"Pittsburgh, PA",PA,23,IAD,"Washington, DC",VA,38,1400,1357,1509,1456,0,0,182
1/1/2022 0:00,UA,3486,RDU,"Raleigh/Durham, NC",NC,36,IAD,"Washington, DC",VA,38,755,747,909,902,0,0,224
1/1/2022 0:00,UA,3530,PIT,"Pittsburgh, PA",PA,23,IAD,"Washington, DC",VA,38,815,812,924,915,0,0,182
1/1/2022 0:00,UA,3550,MSY,"New Orleans, LA",LA,72,IAD,"Washington, DC",VA,38,1752,1948,2120,2305,0,0,955
1/1/2022 0:00,UA,3621,JAX,"Jacksonville, FL",FL,33,IAD,"Washington, DC",VA,38,1424,1418,1617,1627,0,0,630
1/1/2022 0:00,UA,3652,BOS,"Boston, MA",MA,13,IAD,"Washington, DC",VA,38,1927,2004,2117,2149,0,0,413
1/1/2022 0:00,UA,3679,PWM,"Portland, ME",ME,12,IAD,"Washington, DC",VA,38,730,730,933,918,0,0,493
1/1/2022 0:00,UA,3680,CMH,"Columbus, OH",OH,44,IAD,"Washington, DC",VA,38,830,827,949,949,0,0,299
1/1/2022 0:00,UA,3685,RDU,"Raleigh/Durham, NC",NC,36,IAD,"Washington, DC",VA,38,1941,1957,2050,2139,0,0,224
1/1/2022 0:00,UA,3687,PWM,"Portland, ME",ME,12,IAD,"Washington, DC",VA,38,1430,1429,1625,1623,0,0,493
1/1/2022 0:00,UA,369,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,1735,1919,2253,43,0,0,1452
1/1/2022 0:00,UA,3693,SDF,"Louisville, KY",KY,52,IAD,"Washington, DC",VA,38,740,748,921,923,0,0,451
1/1/2022 0:00,UA,3716,EYW,"Key West, FL",FL,33,IAD,"Washington, DC",VA,38,1330,1326,1613,1614,0,0,1023
1/1/2022 0:00,UA,3739,GSO,"Greensboro/High Point, NC",NC,36,IAD,"Washington, DC",VA,38,1430,1426,1548,1534,0,0,239
1/1/2022 0:00,UA,3744,AVP,"Scranton/Wilkes-Barre, PA",PA,23,IAD,"Washington, DC",VA,38,830,824,947,930,0,0,189
1/1/2022 0:00,UA,3747,CAK,"Akron, OH",OH,44,IAD,"Washington, DC",VA,38,800,752,923,900,0,0,251
1/1/2022 0:00,UA,3748,SCE,"State College, PA",PA,23,IAD,"Washington, DC",VA,38,1400,1350,1459,1442,0,0,133
1/1/2022 0:00,UA,3751,AVL,"Asheville, NC",NC,36,IAD,"Washington, DC",VA,38,1400,1357,1540,1525,0,0,370
1/1/2022 0:00,UA,3755,BGR,"Bangor, ME",ME,12,IAD,"Washington, DC",VA,38,715,705,943,942,0,0,601
1/1/2022 0:00,UA,3766,AVL,"Asheville, NC",NC,36,IAD,"Washington, DC",VA,38,800,758,941,931,0,0,370
1/1/2022 0:00,UA,3768,ILM,"Wilmington, NC",NC,36,IAD,"Washington, DC",VA,38,1430,1429,1549,1548,0,0,323
1/1/2022 0:00,UA,3778,IND,"Indianapolis, IN",IN,42,IAD,"Washington, DC",VA,38,1935,2210,2116,2345,0,0,476
1/1/2022 0:00,UA,3780,DAY,"Dayton, OH",OH,44,IAD,"Washington, DC",VA,38,800,753,940,927,0,0,368
1/1/2022 0:00,UA,3781,PIT,"Pittsburgh, PA",PA,23,IAD,"Washington, DC",VA,38,1935,1927,2048,2033,0,0,182
1/1/2022 0:00,UA,3786,DTW,"Detroit, MI",MI,43,IAD,"Washington, DC",VA,38,1935,2027,2115,2223,0,0,383
1/1/2022 0:00,UA,3787,BTV,"Burlington, VT",VT,16,IAD,"Washington, DC",VA,38,1430,1430,1620,1611,0,0,441
1/1/2022 0:00,UA,3792,CAE,"Columbia, SC",SC,37,IAD,"Washington, DC",VA,38,800,754,933,951,0,0,401
1/1/2022 0:00,UA,3799,ERI,"Erie, PA",PA,23,IAD,"Washington, DC",VA,38,818,810,944,915,0,0,259
1/1/2022 0:00,UA,3802,PHL,"Philadelphia, PA",PA,23,IAD,"Washington, DC",VA,38,815,807,919,928,0,0,135
1/1/2022 0:00,UA,3804,DTW,"Detroit, MI",MI,43,IAD,"Washington, DC",VA,38,1415,1411,1554,1541,0,0,383
1/1/2022 0:00,UA,382,LAX,"Los Angeles, CA",CA,91,IAD,"Washington, DC",VA,38,825,825,1604,1543,0,0,2288
1/1/2022 0:00,UA,3820,ABE,"Allentown/Bethlehem/Easton, PA",PA,23,IAD,"Washington, DC",VA,38,1430,1420,1537,1535,0,0,159
1/1/2022 0:00,UA,3830,CHO,"Charlottesville, VA",VA,38,IAD,"Washington, DC",VA,38,845,836,933,939,0,0,77
1/1/2022 0:00,UA,3837,SDF,"Louisville, KY",KY,52,IAD,"Washington, DC",VA,38,1435,1428,1615,1559,0,0,451
1/1/2022 0:00,UA,3846,BUF,"Buffalo, NY",NY,22,IAD,"Washington, DC",VA,38,800,750,923,916,0,0,283
1/1/2022 0:00,UA,3853,ITH,"Ithaca/Cortland, NY",NY,22,IAD,"Washington, DC",VA,38,1435,1435,1602,1550,0,0,250
1/1/2022 0:00,UA,3857,MYR,"Myrtle Beach, SC",SC,37,IAD,"Washington, DC",VA,38,1400,1356,1536,1515,0,0,372
1/1/2022 0:00,UA,3862,ROA,"Roanoke, VA",VA,38,IAD,"Washington, DC",VA,38,1435,1427,1545,1536,0,0,177
1/1/2022 0:00,UA,3869,GSP,"Greer, SC",SC,37,IAD,"Washington, DC",VA,38,750,753,927,925,0,0,384
1/1/2022 0:00,UA,3879,DAY,"Dayton, OH",OH,44,IAD,"Washington, DC",VA,38,1430,1429,1603,1545,0,0,368
1/1/2022 0:00,UA,3885,PHL,"Philadelphia, PA",PA,23,IAD,"Washington, DC",VA,38,1500,1455,1604,1550,0,0,135
1/1/2022 0:00,UA,3887,CHO,"Charlottesville, VA",VA,38,IAD,"Washington, DC",VA,38,1955,1946,2043,2026,0,0,77
1/1/2022 0:00,UA,3893,ROA,"Roanoke, VA",VA,38,IAD,"Washington, DC",VA,38,800,754,915,853,0,0,177
1/1/2022 0:00,UA,3902,GSP,"Greer, SC",SC,37,IAD,"Washington, DC",VA,38,1445,1435,1615,1612,0,0,384
1/1/2022 0:00,UA,3923,BUF,"Buffalo, NY",NY,22,IAD,"Washington, DC",VA,38,1445,1502,1608,1608,0,0,283
1/1/2022 0:00,UA,3946,MHT,"Manchester, NH",NH,14,IAD,"Washington, DC",VA,38,1415,1412,1614,1606,0,0,418
1/1/2022 0:00,UA,395,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,2330,147,444,646,0,0,1452
1/1/2022 0:00,UA,3964,MKE,"Milwaukee, WI",WI,45,IAD,"Washington, DC",VA,38,645,646,950,949,0,0,611
1/1/2022 0:00,UA,3967,CVG,"Cincinnati, OH",KY,52,IAD,"Washington, DC",VA,38,1430,1427,1605,1603,0,0,388
1/1/2022 0:00,UA,3968,STL,"St. Louis, MO",MO,64,IAD,"Washington, DC",VA,38,1315,1307,1622,1619,0,0,696
1/1/2022 0:00,UA,3973,GSO,"Greensboro/High Point, NC",NC,36,IAD,"Washington, DC",VA,38,1930,1949,2048,2057,0,0,239
1/1/2022 0:00,UA,3974,MDT,"Harrisburg, PA",PA,23,IAD,"Washington, DC",VA,38,1448,1442,1543,1534,0,0,94
1/1/2022 0:00,UA,3995,SCE,"State College, PA",PA,23,IAD,"Washington, DC",VA,38,800,753,907,834,0,0,133
1/1/2022 0:00,UA,4000,ITH,"Ithaca/Cortland, NY",NY,22,IAD,"Washington, DC",VA,38,800,753,937,903,0,0,250
1/1/2022 0:00,UA,4165,LGA,"New York, NY",NY,22,IAD,"Washington, DC",VA,38,1020,1023,1144,1151,0,0,229
1/1/2022 0:00,UA,4179,IND,"Indianapolis, IN",IN,42,IAD,"Washington, DC",VA,38,805,758,940,926,0,0,476
1/1/2022 0:00,UA,4269,CMH,"Columbus, OH",OH,44,IAD,"Washington, DC",VA,38,1936,,2102,,1,0,299
1/1/2022 0:00,UA,4294,HSV,"Huntsville, AL",AL,51,IAD,"Washington, DC",VA,38,645,,946,,1,0,596
1/1/2022 0:00,UA,4324,PHL,"Philadelphia, PA",PA,23,IAD,"Washington, DC",VA,38,1932,,2036,,1,0,135
1/1/2022 0:00,UA,4325,HSV,"Huntsville, AL",AL,51,IAD,"Washington, DC",VA,38,1315,1335,1612,1617,0,0,596
1/1/2022 0:00,UA,4328,TYS,"Knoxville, TN",TN,54,IAD,"Washington, DC",VA,38,800,753,942,951,0,0,420
1/1/2022 0:00,UA,4350,ROC,"Rochester, NY",NY,22,IAD,"Washington, DC",VA,38,1430,,1557,,1,0,288
1/1/2022 0:00,UA,4354,SYR,"Syracuse, NY",NY,22,IAD,"Washington, DC",VA,38,1415,1405,1546,1521,0,0,296
1/1/2022 0:00,UA,436,EWR,"Newark, NJ",NJ,21,IAD,"Washington, DC",VA,38,1710,1726,1834,1833,0,0,212
1/1/2022 0:00,UA,4373,SYR,"Syracuse, NY",NY,22,IAD,"Washington, DC",VA,38,1930,,2107,,1,0,296
1/1/2022 0:00,UA,4424,GRR,"Grand Rapids, MI",MI,43,IAD,"Washington, DC",VA,38,1440,1513,1625,1653,0,0,501
1/1/2022 0:00,UA,4451,STL,"St. Louis, MO",MO,64,IAD,"Washington, DC",VA,38,640,633,947,929,0,0,696
1/1/2022 0:00,UA,4453,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,826,816,928,904,0,0,100
1/1/2022 0:00,UA,4482,HHH,"Hilton Head, SC",SC,37,IAD,"Washington, DC",VA,38,1420,1413,1559,1558,0,0,498
1/1/2022 0:00,UA,4519,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,1455,1702,1550,1809,0,0,100
1/1/2022 0:00,UA,4561,CVG,"Cincinnati, OH",KY,52,IAD,"Washington, DC",VA,38,1950,1953,2117,2126,0,0,388
1/1/2022 0:00,UA,4577,RIC,"Richmond, VA",VA,38,IAD,"Washington, DC",VA,38,2021,2043,2115,2134,0,0,100
1/1/2022 0:00,UA,4594,CVG,"Cincinnati, OH",KY,52,IAD,"Washington, DC",VA,38,800,755,933,912,0,0,388
1/1/2022 0:00,UA,461,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,1350,1630,1905,2127,0,0,1452
1/1/2022 0:00,UA,463,EWR,"Newark, NJ",NJ,21,IAD,"Washington, DC",VA,38,1955,2248,2117,9,0,0,212
1/1/2022 0:00,UA,471,IAH,"Houston, TX",TX,74,IAD,"Washington, DC",VA,38,600,601,950,945,0,0,1190
1/1/2022 0:00,UA,4721,CMH,"Columbus, OH",OH,44,IAD,"Washington, DC",VA,38,1445,1444,1607,1609,0,0,299
1/1/2022 0:00,UA,4814,PNS,"Pensacola, FL",FL,33,IAD,"Washington, DC",VA,38,1230,,1541,,1,0,804
1/1/2022 0:00,UA,4815,PVD,"Providence, RI",RI,15,IAD,"Washington, DC",VA,38,730,1113,922,1327,0,0,371
1/1/2022 0:00,UA,4816,PVD,"Providence, RI",RI,15,IAD,"Washington, DC",VA,38,1415,1413,1603,1556,0,0,371
1/1/2022 0:00,UA,4848,TYS,"Knoxville, TN",TN,54,IAD,"Washington, DC",VA,38,1430,1425,1609,1608,0,0,420
1/1/2022 0:00,UA,4862,ORF,"Norfolk, VA",VA,38,IAD,"Washington, DC",VA,38,815,806,927,944,0,0,157
1/1/2022 0:00,UA,487,SFO,"San Francisco, CA",CA,91,IAD,"Washington, DC",VA,38,1100,1101,1909,1843,0,0,2419
1/1/2022 0:00,UA,4889,ALB,"Albany, NY",NY,22,IAD,"Washington, DC",VA,38,810,800,950,939,0,0,325
1/1/2022 0:00,UA,493,CLE,"Cleveland, OH",OH,44,IAD,"Washington, DC",VA,38,800,759,919,907,0,0,288
1/1/2022 0:00,UA,4942,ALB,"Albany, NY",NY,22,IAD,"Washington, DC",VA,38,1415,1424,1552,1634,0,0,325
1/1/2022 0:00,UA,4970,ALB,"Albany, NY",NY,22,IAD,"Washington, DC",VA,38,1935,,2113,,1,0,325
1/1/2022 0:00,UA,4977,TYS,"Knoxville, TN",TN,54,IAD,"Washington, DC",VA,38,1845,1830,2020,2028,0,0,420
1/1/2022 0:00,UA,499,LAX,"Los Angeles, CA",CA,91,IAD,"Washington, DC",VA,38,2235,2235,627,601,0,0,2288
1/1/2022 0:00,UA,5031,PBG,"Plattsburgh, NY",NY,22,IAD,"Washington, DC",VA,38,725,723,921,925,0,0,444
1/1/2022 0:00,UA,5101,OGS,"Ogdensburg, NY",NY,22,IAD,"Washington, DC",VA,38,1249,,1436,,1,0,409
1/1/2022 0:00,UA,5125,SHD,"Staunton, VA",VA,38,IAD,"Washington, DC",VA,38,831,829,926,918,0,0,91
1/1/2022 0:00,UA,5132,PBG,"Plattsburgh, NY",NY,22,IAD,"Washington, DC",VA,38,1400,1359,1556,1540,0,0,444
1/1/2022 0:00,UA,5150,CKB,"Clarksburg/Fairmont, WV",WV,39,IAD,"Washington, DC",VA,38,800,754,910,846,0,0,151
1/1/2022 0:00,UA,5191,OGS,"Ogdensburg, NY",NY,22,IAD,"Washington, DC",VA,38,1915,,2102,,1,0,409
1/1/2022 0:00,UA,5205,JST,"Johnstown, PA",PA,23,IAD,"Washington, DC",VA,38,745,947,851,1030,0,0,120
1/1/2022 0:00,UA,546,SAN,"San Diego, CA",CA,91,IAD,"Washington, DC",VA,38,835,922,1621,1704,0,0,2253
1/1/2022 0:00,UA,5538,ROC,"Rochester, NY",NY,22,IAD,"Washington, DC",VA,38,800,925,932,1035,0,0,288
1/1/2022 0:00,UA,560,DEN,"Denver, CO",CO,82,IAD,"Washington, DC",VA,38,1120,1307,1637,1855,0,0,1452
1/1/2022 0:00,UA,5621,ROC,"Rochester, NY",NY,22,IAD,"Washington, DC",VA,38,1935,,2103,,1,0,288
1/1/2022 0:00,UA,6010,SAT,"San Antonio, TX",TX,74,IAD,"Washington, DC",VA,38,1700,1707,2110,2100,0,0,1362
1/1/2022 0:00,UA,6014,BNA,"Nashville, TN",TN,54,IAD,"Washington, DC",VA,38,1312,1332,1552,1606,0,0,542
1/1/2022 0:00,UA,6018,BNA,"Nashville, TN",TN,54,IAD,"Washington, DC",VA,38,700,659,945,935,0,0,542
1/1/2022 0:00,UA,6019,BDL,"Hartford, CT",CT,11,IAD,"Washington, DC",VA,38,1931,2002,2103,2141,0,0,326
1/1/2022 0:00,UA,6022,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,1939,1946,2101,2104,0,0,322
1/1/2022 0:00,UA,6023,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,1445,1447,1618,1607,0,0,322
1/1/2022 0:00,UA,6027,PBI,"West Palm Beach/Palm Beach, FL",FL,33,IAD,"Washington, DC",VA,38,645,638,915,905,0,0,859
1/1/2022 0:00,UA,6030,CHS,"Charleston, SC",SC,37,IAD,"Washington, DC",VA,38,1436,1433,1612,1617,0,0,441
1/1/2022 0:00,UA,6033,JAX,"Jacksonville, FL",FL,33,IAD,"Washington, DC",VA,38,730,749,932,955,0,0,630
1/1/2022 0:00,UA,6042,RDU,"Raleigh/Durham, NC",NC,36,IAD,"Washington, DC",VA,38,1434,,1550,,1,0,224
1/1/2022 0:00,UA,6058,AUS,"Austin, TX",TX,74,IAD,"Washington, DC",VA,38,1700,1715,2105,2145,0,0,1297
1/1/2022 0:00,UA,6064,MCI,"Kansas City, MO",MO,64,IAD,"Washington, DC",VA,38,615,,944,,1,0,926
1/1/2022 0:00,UA,6073,CHS,"Charleston, SC",SC,37,IAD,"Washington, DC",VA,38,1944,2040,2116,2204,0,0,441
1/1/2022 0:00,UA,6086,SAV,"Savannah, GA",GA,34,IAD,"Washington, DC",VA,38,745,742,929,918,0,0,515
1/1/2022 0:00,UA,6091,CHS,"Charleston, SC",SC,37,IAD,"Washington, DC",VA,38,808,804,944,938,0,0,441
1/1/2022 0:00,UA,6102,CLE,"Cleveland, OH",OH,44,IAD,"Washington, DC",VA,38,1930,1928,2050,2051,0,0,288
1/1/2022 0:00,UA,6110,SAT,"San Antonio, TX",TX,74,IAD,"Washington, DC",VA,38,1200,1207,1610,1548,0,0,1362
1/1/2022 0:00,UA,6131,SAV,"Savannah, GA",GA,34,IAD,"Washington, DC",VA,38,1430,1423,1614,1559,0,0,515
1/1/2022 0:00,UA,6135,JAX,"Jacksonville, FL",FL,33,IAD,"Washington, DC",VA,38,1900,1937,2053,2130,0,0,630
1/1/2022 0:00,UA,614,FLL,"Fort Lauderdale, FL",FL,33,IAD,"Washington, DC",VA,38,1355,1359,1625,1631,0,0,901
1/1/2022 0:00,UA,6145,ATL,"Atlanta, GA",GA,34,IAD,"Washington, DC",VA,38,1433,1430,1620,1637,0,0,534
1/1/2022 0:00,UA,6148,MSP,"Minneapolis, MN",MN,63,IAD,"Washington, DC",VA,38,1230,1245,1558,1557,0,0,908
1/1/2022 0:00,UA,6153,LGA,"New York, NY",NY,22,IAD,"Washington, DC",VA,38,1445,1445,1609,1557,0,0,229
1/1/2022 0:00,UA,6194,DFW,"Dallas/Fort Worth, TX",TX,74,IAD,"Washington, DC",VA,38,1130,1129,1522,1533,0,0,1172
1/1/2022 0:00,UA,6200,ORF,"Norfolk, VA",VA,38,IAD,"Washington, DC",VA,38,1945,1939,2055,2049,0,0,157
1/1/2022 0:00,UA,6237,LGA,"New York, NY",NY,22,IAD,"Washington, DC",VA,38,759,807,923,927,0,0,229
1/1/2022 0:00,UA,6238,CLT,"Charlotte, NC",NC,36,IAD,"Washington, DC",VA,38,810,,941,,1,0,322
1/1/2022 0:00,UA,6254,MSY,"New Orleans, LA",LA,72,IAD,"Washington, DC",VA,38,1200,1156,1528,1514,0,0,955
1/1/2022 0:00,UA,6262,EYW,"Key West, FL",FL,33,IAD,"Washington, DC",VA,38,630,638,909,929,0,0,1023
