FL_DATE,MKT_CARRIER,MKT_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_WAC,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_WAC,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,CANCELLED,DIVERTED,DISTANCE
1/1/2022 0:00,NK,1103,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,1443,1753,1719,2017,0,0,852
1/1/2022 0:00,NK,151,ACY,"Atlantic City, NJ",NJ,21,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1250,1409,1523,1626,0,0,936
1/1/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,647,835,904,0,0,852
1/1/2022 0:00,NK,3044,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,2135,2155,18,28,0,0,977
1/1/2022 0:00,NK,3104,ACY,"Atlantic City, NJ",NJ,21,MIA,"Miami, FL",FL,33,1030,,1312,,1,0,998
1/1/2022 0:00,NK,341,ACY,"Atlantic City, NJ",NJ,21,TPA,"Tampa, FL",FL,33,1300,1328,1543,1553,0,0,913
1/1/2022 0:00,NK,346,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,530,635,815,916,0,0,982
1/1/2022 0:00,NK,379,ACY,"Atlantic City, NJ",NJ,21,MYR,"Myrtle Beach, SC",SC,37,1933,2156,2058,2332,0,0,466
1/1/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1735,1725,2019,2001,0,0,982
1/2/2022 0:00,NK,1103,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,1443,1654,1719,1937,0,0,852
1/2/2022 0:00,NK,151,ACY,"Atlantic City, NJ",NJ,21,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1250,,1523,,1,0,936
1/2/2022 0:00,NK,2312,ACY,"Atlantic City, NJ",NJ,21,SJU,"San Juan, PR",PR,3,816,806,1309,1322,0,0,1536
1/2/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,559,835,832,0,0,852
1/2/2022 0:00,NK,3044,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,2135,2212,18,56,0,0,977
1/2/2022 0:00,NK,3104,ACY,"Atlantic City, NJ",NJ,21,MIA,"Miami, FL",FL,33,1030,1024,1312,1310,0,0,998
1/2/2022 0:00,NK,341,ACY,"Atlantic City, NJ",NJ,21,TPA,"Tampa, FL",FL,33,1300,1336,1543,1609,0,0,913
1/2/2022 0:00,NK,346,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,530,524,815,810,0,0,982
1/2/2022 0:00,NK,379,ACY,"Atlantic City, NJ",NJ,21,MYR,"Myrtle Beach, SC",SC,37,1933,1928,2058,2104,0,0,466
1/2/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1735,,2019,,1,0,982
1/3/2022 0:00,NK,1103,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,1443,,1719,,1,0,852
1/3/2022 0:00,NK,151,ACY,"Atlantic City, NJ",NJ,21,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1250,,1523,,1,0,936
1/3/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,,835,,1,0,852
1/3/2022 0:00,NK,3044,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,2135,,18,,1,0,977
1/3/2022 0:00,NK,3104,ACY,"Atlantic City, NJ",NJ,21,MIA,"Miami, FL",FL,33,1030,,1312,,1,0,998
1/3/2022 0:00,NK,341,ACY,"Atlantic City, NJ",NJ,21,TPA,"Tampa, FL",FL,33,1300,,1543,,1,0,913
1/3/2022 0:00,NK,346,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,530,613,815,924,0,0,982
1/3/2022 0:00,NK,379,ACY,"Atlantic City, NJ",NJ,21,MYR,"Myrtle Beach, SC",SC,37,1933,,2058,,1,0,466
1/3/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1735,,2019,,1,0,982
1/4/2022 0:00,NK,1103,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,1443,1500,1719,1733,0,0,852
1/4/2022 0:00,NK,151,ACY,"Atlantic City, NJ",NJ,21,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1250,1250,1523,1530,0,0,936
1/4/2022 0:00,NK,2312,ACY,"Atlantic City, NJ",NJ,21,SJU,"San Juan, PR",PR,3,816,815,1309,1304,0,0,1536
1/4/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,556,835,909,0,0,852
1/4/2022 0:00,NK,3044,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,2135,103,18,429,0,0,977
1/4/2022 0:00,NK,3104,ACY,"Atlantic City, NJ",NJ,21,MIA,"Miami, FL",FL,33,1030,1022,1312,1309,0,0,998
1/4/2022 0:00,NK,341,ACY,"Atlantic City, NJ",NJ,21,TPA,"Tampa, FL",FL,33,1300,1341,1543,1610,0,0,913
1/4/2022 0:00,NK,346,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,530,,815,,1,0,982
1/4/2022 0:00,NK,379,ACY,"Atlantic City, NJ",NJ,21,MYR,"Myrtle Beach, SC",SC,37,1933,2000,2058,2124,0,0,466
1/4/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1735,1738,2019,2025,0,0,982
1/5/2022 0:00,NK,235,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,640,648,925,940,0,0,977
1/5/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,557,840,855,0,0,852
1/5/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1635,1624,1925,1924,0,0,982
1/6/2022 0:00,NK,1103,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,1325,1350,1600,1626,0,0,852
1/6/2022 0:00,NK,151,ACY,"Atlantic City, NJ",NJ,21,PBI,"West Palm Beach/Palm Beach, FL",FL,33,1340,1336,1617,1608,0,0,936
1/6/2022 0:00,NK,2312,ACY,"Atlantic City, NJ",NJ,21,SJU,"San Juan, PR",PR,3,700,654,1151,1132,0,0,1536
1/6/2022 0:00,NK,235,ACY,"Atlantic City, NJ",NJ,21,FLL,"Fort Lauderdale, FL",FL,33,640,639,925,935,0,0,977
1/6/2022 0:00,NK,303,ACY,"Atlantic City, NJ",NJ,21,MCO,"Orlando, FL",FL,33,600,600,840,845,0,0,852
1/6/2022 0:00,NK,3104,ACY,"Atlantic City, NJ",NJ,21,MIA,"Miami, FL",FL,33,1050,1046,1331,1345,0,0,998
1/6/2022 0:00,NK,341,ACY,"Atlantic City, NJ",NJ,21,TPA,"Tampa, FL",FL,33,1310,1303,1546,1544,0,0,913
1/6/2022 0:00,NK,346,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,600,600,854,855,0,0,982
1/6/2022 0:00,NK,379,ACY,"Atlantic City, NJ",NJ,21,MYR,"Myrtle Beach, SC",SC,37,2030,2023,2204,2152,0,0,466
1/6/2022 0:00,NK,943,ACY,"Atlantic City, NJ",NJ,21,RSW,"Fort Myers, FL",FL,33,1635,1624,1925,1914,0,0,982
